report_month,dept_name,ward_code,service,budget_allocated,actual_spend,revenue_collected,outstanding_debt,payment_rate,data_source
31-01-2023,water services,Ward-1,Electricity,8405091,11131347,22251543,6428988,65.1,FIN_SYS_A
31-01-2023,water services,Ward-2,Rates,16585978,5225608,20585574,7231888,89.4,FIN_SYS_A
31-01-2023,water services,Ward-3,Refuse,6399526,18360339,12513452,6822008,62.9,FIN_SYS_A
31-01-2023,WATER SERVICES,Ward-4,Water,20564824,13353417,8936014,7605766,94.5,FIN_SYS_B
31-01-2023,water services,Ward-5,Refuse,6260328,29395027,23263280,8672481,72.9,MANUAL_UPLOAD
31-01-2023,water services,Ward-6,Water,8101991,25502231,15216489,8806147,71.9,FIN_SYS_A
31-01-2023,WATER SERVICES,Ward-7,Electricity,6046721,10081091,6936923,6612417,68.1,FIN_SYS_A
31-01-2023,water services,Ward-8,Refuse,12437721,4744165,21359561,3581885,66.8,MANUAL_UPLOAD
31-01-2023,WATER SERVICES,Ward-9,Rates,11231797,7102327,7683403,3836826,69.9,FIN_SYS_A
31-01-2023,water services,Ward-10,Electricity,6585257,7900236,23223235,3941966,86.1,FIN_SYS_A
31-01-2023,WATER SERVICES,Ward-11,Refuse,22389315,6926384,13708203,3501480,92.6,MANUAL_UPLOAD
31-01-2023,WATER SERVICES,Ward-12,Refuse,17313261,19350194,13292061,5916076,65.1,FIN_SYS_A
31-01-2023,water services,Ward-13,Electricity,10728678,20969365,19453100,8561329,65.9,FIN_SYS_B
31-01-2023,WATER SERVICES,Ward-14,Electricity,8104649,4610333,14060954,1805088,88.0,MANUAL_UPLOAD
31-01-2023,water services,Ward-15,Rates,13636034,24513211,21226222,8301396,83.1,MANUAL_UPLOAD
31-01-2023,water services,Ward-16,Electricity,11343215,27216177,4885046,593285,85.1,FIN_SYS_B
31-01-2023,WATER SERVICES,Ward-17,Water,20947819,27657222,20493304,1715393,73.2,MANUAL_UPLOAD
31-01-2023,WATER SERVICES,Ward-18,Water,15282515,7930359,13607673,7525228,50.4,FIN_SYS_A
31-01-2023,water services,Ward-19,Rates,7987529,12508646,12220431,3719947,79.8,FIN_SYS_A
31-01-2023,WATER SERVICES,Ward-20,Refuse,21113664,15692661,14491479,7258047,56.5,FIN_SYS_A
31-01-2023,WATER SERVICES,Ward-21,Rates,19668361,8209706,19550176,6771970,73.9,MANUAL_UPLOAD
31-01-2023,WATER SERVICES,Ward-22,Electricity,18147189,7526571,23640479,7605424,98.2,FIN_SYS_B
31-01-2023,water services,Ward-23,Electricity,20489715,6070783,8794578,7151136,78.7,MANUAL_UPLOAD
31-01-2023,WATER SERVICES,Ward-24,Rates,16693948,6809591,10355297,1900100,72.7,MANUAL_UPLOAD
31-01-2023,WATER SERVICES,Ward-25,Rates,10415996,5735175,11627791,5120178,81.2,FIN_SYS_A
31-01-2023,water services,Ward-26,Electricity,10441688,25574626,20324095,7850379,60.5,FIN_SYS_A
31-01-2023,WATER SERVICES,Ward-27,Rates,6090056,23662748,13885931,6328893,90.7,MANUAL_UPLOAD
31-01-2023,water services,Ward-28,Water,24710311,5029946,2613042,6886032,94.7,MANUAL_UPLOAD
31-01-2023,water services,Ward-29,Refuse,19295853,25745176,21170371,3246464,65.9,FIN_SYS_A
31-01-2023,water services,Ward-30,Electricity,11873563,18162929,15651806,3038603,75.0,FIN_SYS_B
31-01-2023,electricity,Ward-1,Water,23798684,16663787,12407777,6994580,60.1,MANUAL_UPLOAD
31-01-2023,ELECTRICITY,Ward-2,Rates,9228588,13871620,14611628,8288011,61.6,FIN_SYS_A
31-01-2023,ELECTRICITY,Ward-3,Electricity,25479094,11965637,9262055,5416151,79.2,MANUAL_UPLOAD
31-01-2023,ELECTRICITY,Ward-4,Water,15822282,8137902,10577262,2386338,82.9,FIN_SYS_A
31-01-2023,electricity,Ward-5,Refuse,24796174,27270780,11699973,4172841,79.1,MANUAL_UPLOAD
31-01-2023,ELECTRICITY,Ward-6,Rates,15348805,19847766,10430833,5892329,59.2,FIN_SYS_A
31-01-2023,electricity,Ward-7,Electricity,14374630,29629568,20403540,4933121,69.1,FIN_SYS_A
31-01-2023,electricity,Ward-8,Refuse,23372061,23542837,18362247,1435891,88.0,FIN_SYS_B
31-01-2023,ELECTRICITY,Ward-9,Rates,23238001,5332769,12865416,6848340,51.9,MANUAL_UPLOAD
31-01-2023,electricity,Ward-10,Electricity,4848032,11354952,23074829,7563921,81.0,FIN_SYS_A
31-01-2023,electricity,Ward-11,Electricity,19829409,5648421,21215141,3888592,76.8,MANUAL_UPLOAD
31-01-2023,electricity,Ward-12,Refuse,22905512,19111930,3261118,3576089,93.8,MANUAL_UPLOAD
31-01-2023,ELECTRICITY,Ward-13,Rates,8127757,11335804,13879337,7649941,68.2,FIN_SYS_B
31-01-2023,ELECTRICITY,Ward-14,Electricity,22508844,18443874,10985252,4270902,58.8,FIN_SYS_B
31-01-2023,ELECTRICITY,Ward-15,Rates,20749828,27267987,6888754,5188869,59.9,FIN_SYS_B
31-01-2023,ELECTRICITY,Ward-16,Rates,6459413,10157602,19641299,8592130,95.6,MANUAL_UPLOAD
31-01-2023,ELECTRICITY,Ward-17,Water,5661832,23313264,13761922,3682055,91.3,FIN_SYS_A
31-01-2023,electricity,Ward-18,Water,10909908,17382257,21957372,2615741,97.2,FIN_SYS_A
31-01-2023,electricity,Ward-19,Rates,16000694,6726558,9458930,4434720,84.2,FIN_SYS_A
31-01-2023,electricity,Ward-20,Water,12137218,19742071,6760694,6343804,90.3,FIN_SYS_B
31-01-2023,electricity,Ward-21,Water,5829366,12035415,22261107,3375979,85.2,FIN_SYS_B
31-01-2023,electricity,Ward-22,Water,11144546,20277597,23704039,3917078,58.3,FIN_SYS_A
31-01-2023,ELECTRICITY,Ward-23,Electricity,6392496,12783431,3983544,578276,70.7,FIN_SYS_A
31-01-2023,ELECTRICITY,Ward-24,Water,19734732,20967972,12101791,3199248,75.7,FIN_SYS_B
31-01-2023,ELECTRICITY,Ward-25,Water,24061479,8237445,11604929,7392825,73.4,FIN_SYS_B
31-01-2023,ELECTRICITY,Ward-26,Electricity,13560966,9052523,8399352,2675038,62.5,MANUAL_UPLOAD
31-01-2023,ELECTRICITY,Ward-27,Rates,14185667,15774881,22757104,2720176,75.1,FIN_SYS_A
31-01-2023,ELECTRICITY,Ward-28,Rates,25180718,9133998,16885186,1587455,89.6,FIN_SYS_A
31-01-2023,electricity,Ward-29,Refuse,15771508,17853207,17413148,311131,74.2,FIN_SYS_B
31-01-2023,electricity,Ward-30,Electricity,13613368,5476199,6343588,5425167,91.3,FIN_SYS_B
31-01-2023,waste management,Ward-1,Refuse,17387859,14509851,18812323,2726062,54.0,FIN_SYS_B
31-01-2023,waste management,Ward-2,Refuse,8031545,20277486,2324126,485450,98.9,MANUAL_UPLOAD
31-01-2023,WASTE MANAGEMENT,Ward-3,Rates,8789273,10045944,14788155,1912376,54.8,MANUAL_UPLOAD
31-01-2023,WASTE MANAGEMENT,Ward-4,Refuse,8731697,21051089,15944324,8696377,88.3,FIN_SYS_B
31-01-2023,waste management,Ward-5,Rates,16956862,13777101,9009528,2727904,51.1,FIN_SYS_A
31-01-2023,waste management,Ward-6,Electricity,10953348,9357612,5208845,3420736,80.4,MANUAL_UPLOAD
31-01-2023,WASTE MANAGEMENT,Ward-7,Refuse,21555979,28216769,15724000,7612103,77.3,MANUAL_UPLOAD
31-01-2023,WASTE MANAGEMENT,Ward-8,Water,8201352,25127962,22888878,2778902,77.3,FIN_SYS_B
31-01-2023,waste management,Ward-9,Electricity,9390097,16369249,9912236,2295441,61.0,FIN_SYS_B
31-01-2023,waste management,Ward-10,Electricity,18904834,27999432,22523894,1817133,72.6,FIN_SYS_B
31-01-2023,WASTE MANAGEMENT,Ward-11,Refuse,15088114,8856385,7575597,5323776,94.3,FIN_SYS_A
31-01-2023,waste management,Ward-12,Water,4941344,24434149,6216598,6708521,61.0,FIN_SYS_B
31-01-2023,WASTE MANAGEMENT,Ward-13,Water,13579562,27680136,19090379,1838343,70.2,FIN_SYS_A
31-01-2023,waste management,Ward-14,Refuse,8316464,15424508,12701826,8628836,83.1,FIN_SYS_B
31-01-2023,WASTE MANAGEMENT,Ward-15,Water,17053408,16132053,8268771,1022027,56.7,FIN_SYS_B
31-01-2023,WASTE MANAGEMENT,Ward-16,Electricity,15085516,25452234,20356635,3454713,54.4,FIN_SYS_B
31-01-2023,waste management,Ward-17,Electricity,12607671,16073447,23674963,7595820,53.9,MANUAL_UPLOAD
31-01-2023,WASTE MANAGEMENT,Ward-18,Electricity,20668519,26688956,16286176,5148921,95.9,MANUAL_UPLOAD
31-01-2023,WASTE MANAGEMENT,Ward-19,Rates,10237215,26355363,4828584,6940136,81.0,MANUAL_UPLOAD
31-01-2023,WASTE MANAGEMENT,Ward-20,Electricity,7343400,20473493,22073611,5973833,97.4,FIN_SYS_B
31-01-2023,waste management,Ward-21,Refuse,25425471,10837220,17804681,4747054,53.3,MANUAL_UPLOAD
31-01-2023,WASTE MANAGEMENT,Ward-22,Electricity,11791362,8633279,19495121,5923941,68.6,MANUAL_UPLOAD
31-01-2023,waste management,Ward-23,Rates,5986326,5956984,21787473,5994864,84.5,FIN_SYS_B
31-01-2023,WASTE MANAGEMENT,Ward-24,Water,16130716,19806338,15199382,2151780,70.7,FIN_SYS_A
31-01-2023,WASTE MANAGEMENT,Ward-25,Rates,25394602,12289296,20339241,3352000,69.7,MANUAL_UPLOAD
31-01-2023,WASTE MANAGEMENT,Ward-26,Water,25134322,24030464,11698297,3937525,76.7,FIN_SYS_A
31-01-2023,waste management,Ward-27,Rates,15849242,22552796,6699850,5541839,64.6,FIN_SYS_B
31-01-2023,waste management,Ward-28,Water,10019024,24966350,21156389,8280666,72.1,FIN_SYS_B
31-01-2023,WASTE MANAGEMENT,Ward-29,Rates,5111000,28384129,5410414,1102626,50.8,MANUAL_UPLOAD
